Scientific Name,Common Name,Rarity Status
Arctostaphylos hispidula,Gasquet manzanita,G3
Arctostaphylos hookeri,Hooker's manzanita,G3
Arctostaphylos hookeri ssp. franciscana,Franciscan manzanita,G3T1
Arctostaphylos hookeri ssp. hearstiorum,Hearst's manzanita,G3T2
Arctostaphylos hookeri ssp. hookeri,Hooker's manzanita,G3T2?
Arctostaphylos hookeri ssp. montana,Mt. Tamalpais manzanita,G3T2
Arctostaphylos hookeri ssp. ravenii,Presidio manzanita,G3T1
Arctostaphylos hooveri,Hoover's manzanita,G3
Arctostaphylos imbricata,San Bruno Mountain manzanita,G1
Arctostaphylos insularis,island manzanita,G2?
Arctostaphylos klamathensis,Klamath manzanita,G2
Arctostaphylos luciana,Santa Lucia manzanita,G2
Arctostaphylos malloryi,Mallory's manzanita,G3
Arctostaphylos manzanita ssp. elegans,Konocti manzanita,G5T2
Arctostaphylos manzanita ssp. glaucescens,whiteleaf manzanita,G5T3?
Arctostaphylos manzanita ssp. laevigata,Contra Costa manzanita,G5T2
Arctostaphylos manzanita ssp. roofii,Roof's manzanita,G5T2T3
Arctostaphylos manzanita ssp. wieslanderi,Wieslander's manzanita,G5T3?
Arctostaphylos mendocinoensis,pygmy manzanita,G1
Arctostaphylos mewukka ssp. truei,True's manzanita,G4?T3
Arctostaphylos montaraensis,Montara manzanita,G2
Arctostaphylos montereyensis,Monterey manzanita,G2
Arctostaphylos morroensis,Morro manzanita,G2
Arctostaphylos myrtifolia,Ione manzanita,G2
Arctostaphylos nissenana,Nissenan manzanita,G2
Arctostaphylos nummularia,glossyleaf manzanita,G3?
Arctostaphylos obispoensis,serpentine manzanita,G3?
Arctostaphylos ohloneana,Ohlone manzanita,G1
Arctostaphylos osoensis,Oso manzanita,G1
Arctostaphylos otayensis,Otay manzanita,G2
Arctostaphylos pacifica,Pacific manzanita,G1
Arctostaphylos pajaroensis,Pajaro manzanita,G2
Arctostaphylos pallida,Alameda manzanita,G1
Arctostaphylos parryana ssp. tumescens,Parry manzanita,G4T3
Arctostaphylos pechoensis,Pecho manzanita,G2
Arctostaphylos pilosula,La Panza manzanita,G3
Arctostaphylos pringlei ssp. drupacea,pinkbracted manzanita,G4?T3?
Arctostaphylos pumila,sandmat manzanita,G2
Arctostaphylos purissima,La Purissima manzanita,G2?
Arctostaphylos rainbowensis,Rainbow manzanita,G2
Arctostaphylos refugioensis,Refugio manzanita,G2?
Arctostaphylos regismontana,Kings Mountain manzanita,G2
Arctostaphylos rudis,shagbark manzanita,G2
Arctostaphylos silvicola,Bonny Doon manzanita,G2
Arctostaphylos stanfordiana,Stanford's manzanita,G3
Arctostaphylos stanfordiana ssp. decumbens,Rincon manzanita,G3T1
Arctostaphylos stanfordiana ssp. raichei,Raiche's manzanita,G3T2?
Arctostaphylos stanfordiana ssp. stanfordiana,Stanford's manzanita,G3T1
Arctostaphylos tomentosa ssp. bracteosa,woollyleaf manzanita,G4T2?
Arctostaphylos tomentosa ssp. crinita,woollyleaf manzanita,G4T2T3
Arctostaphylos tomentosa ssp. daciticola,dacite manzanita,G4T1
Arctostaphylos tomentosa ssp. eastwoodiana,woollyleaf manzanita,G4T2?
Arctostaphylos tomentosa ssp. insulicola,woollyleaf manzanita,G4T3
Arctostaphylos tomentosa ssp. rosei,rosy manzanita,G4T2T3
Arctostaphylos tomentosa ssp. subcordata,Santa Cruz Island manzanita,G4T3
Arctostaphylos tomentosa ssp. tomentosa,woollyleaf manzanita,G4T2T3
Arctostaphylos virgata,Bolinas manzanita,G2
Arctostaphylos viridissima,whitehair manzanita,G3
Arctostaphylos viscida ssp. mariposa,Mariposa manzanita,G5T3T4
Arctostaphylos viscida ssp. pulchella,sticky whiteleaf manzanita,G5T3T4
Ardisia luquillensis,mountain marlberry,G1
Arenaria livermorensis,Livermore sandwort,G1
Arenaria longipedunculata,longstem sandwort,G3G4
Arenaria paludicola,marsh sandwort,G1
Argemone arizonica,Arizona pricklypoppy,G1
Argemone corymbosa,Mojave pricklypoppy,G3G4
Argemone corymbosa ssp. arenicola,Mojave pricklypoppy,G3G4T2T3
Argemone corymbosa ssp. corymbosa,Mojave pricklypoppy,G3G4T3?
Argemone glauca,smooth pricklypoppy,G2
Argemone glauca var. decipiens,smooth pricklypoppy,G2T1T2
Argemone glauca var. glauca,smooth pricklypoppy,G2T2
Argemone munita ssp. robusta,flatbud pricklypoppy,G4T2Q
Argemone pleiacantha ssp. ambigua,southwestern pricklypoppy,G4G5T3T4
Argemone pleiacantha ssp. pinnatisecta,southwestern pricklypoppy,G4G5T2
Argyrochosma fendleri,Fendler's false cloak fern,G3
Argyrochosma limitanea ssp. limitanea,southwestern false cloak fern,G4G5T3T4
Argyroxiphium caliginis,eke silversword,G1
Argyroxiphium grayanum,Hana Forest silversword,G1
Argyroxiphium kauense,kau silversword,G1
Argyroxiphium sandwicense,Hawai'i silversword,G2
Argyroxiphium sandwicense ssp. macrocephalum,Hawai'i silversword,G2T2
Argyroxiphium sandwicense ssp. sandwicense,Hawai'i silversword,G2T1
Argyroxiphium virescens,greensword,GH
Argythamnia aphoroides,Hill Country silverbush,G2
Argythamnia argyraea,silky silverbush,G2
Argythamnia blodgettii,Blodgett's silverbush,G2
Argythamnia brandegeei,Sonoran silverbush,G3G4
Argythamnia brandegeei var. intonsa,Sonoran silverbush,G3G4T3T4
Argythamnia californica,California silverbush,G2G3
